molecule_chembl_id,molecule_type,pref_name,standard_type,standard_units,standard_value,target_chembl_id,target_pref_name,type,units,value
CHEMBL4564923,Unknown,,Inhibition,%,12.86,CHEMBL4523582,Replicase polyprotein 1ab,Inhibition,%,12.86
CHEMBL4564923,Unknown,,Inhibition,%,0.28,CHEMBL4303835,SARS-CoV-2,inhibition,%,0.28
CHEMBL4564923,Unknown,,Inhibition,%,0.28,CHEMBL4303835,SARS-CoV-2,inhibition,%,0.28
CHEMBL4303795,Small molecule,,,,,,,,,
CHEMBL4303277,Small molecule,,Inhibition index,,0.7968,CHEMBL4303835,SARS-CoV-2,Inhibition index,,0.796836591
CHEMBL3989887,Small molecule,TACROLIMUS,Growth Rate,,-0.12,CHEMBL3706568,HEK-293T,Growth Rate,,-0.12
CHEMBL3989887,Small molecule,TACROLIMUS,Growth Rate,,-0.24,CHEMBL3706568,HEK-293T,Growth Rate,,-0.24
CHEMBL3989887,Small molecule,TACROLIMUS,Growth Rate,,0.77,CHEMBL3706568,HEK-293T,Growth Rate,,0.77
CHEMBL3989887,Small molecule,TACROLIMUS,Growth Rate,,0.41,CHEMBL3706568,HEK-293T,Growth Rate,,0.41
CHEMBL3989887,Small molecule,TACROLIMUS,Growth Rate,,0.99,CHEMBL3706568,HEK-293T,Growth Rate,,0.99
CHEMBL3989887,Small molecule,TACROLIMUS,Growth Rate,,0.78,CHEMBL3706568,HEK-293T,Growth Rate,,0.78
CHEMBL3989887,Small molecule,TACROLIMUS,Growth Rate,,0.82,CHEMBL3706568,HEK-293T,Growth Rate,,0.82
CHEMBL3989887,Small molecule,TACROLIMUS,Growth Rate,,0.87,CHEMBL3706568,HEK-293T,Growth Rate,,0.87
CHEMBL3989887,Small molecule,TACROLIMUS,Growth Rate,,0.99,CHEMBL3706568,HEK-293T,Growth Rate,,0.99
CHEMBL3989887,Small molecule,TACROLIMUS,Growth Rate,,0.59,CHEMBL615023,U2OS,Growth Rate,,0.59
CHEMBL3989887,Small molecule,TACROLIMUS,Growth Rate,,-1.0,CHEMBL615023,U2OS,Growth Rate,,-1.0
CHEMBL3989887,Small molecule,TACROLIMUS,Growth Rate,,0.95,CHEMBL615023,U2OS,Growth Rate,,0.95
CHEMBL3989887,Small molecule,TACROLIMUS,Growth Rate,,0.5,CHEMBL615023,U2OS,Growth Rate,,0.5
CHEMBL3989887,Small molecule,TACROLIMUS,Growth Rate,,0.75,CHEMBL615023,U2OS,Growth Rate,,0.75
CHEMBL3989887,Small molecule,TACROLIMUS,Growth Rate,,0.7,CHEMBL615023,U2OS,Growth Rate,,0.7
CHEMBL3989887,Small molecule,TACROLIMUS,Growth Rate,,0.81,CHEMBL615023,U2OS,Growth Rate,,0.81
CHEMBL3989887,Small molecule,TACROLIMUS,Growth Rate,,0.87,CHEMBL615023,U2OS,Growth Rate,,0.87
CHEMBL3989887,Small molecule,TACROLIMUS,Growth Rate,,0.85,CHEMBL615023,U2OS,Growth Rate,,0.85
CHEMBL3989887,Small molecule,TACROLIMUS,Growth Rate,,-0.26,CHEMBL5314315,Fibroblast,Growth Rate,,-0.26
CHEMBL3989887,Small molecule,TACROLIMUS,Growth Rate,,0.85,CHEMBL5314315,Fibroblast,Growth Rate,,0.85
CHEMBL3989887,Small molecule,TACROLIMUS,Growth Rate,,0.96,CHEMBL5314315,Fibroblast,Growth Rate,,0.96
CHEMBL3989887,Small molecule,TACROLIMUS,Growth Rate,,-0.85,CHEMBL5314315,Fibroblast,Growth Rate,,-0.85
CHEMBL3989887,Small molecule,TACROLIMUS,Growth Rate,,-0.26,CHEMBL5314315,Fibroblast,Growth Rate,,-0.26
CHEMBL3989887,Small molecule,TACROLIMUS,Growth Rate,,0.85,CHEMBL5314315,Fibroblast,Growth Rate,,0.85
CHEMBL3989887,Small molecule,TACROLIMUS,Growth Rate,,0.96,CHEMBL5314315,Fibroblast,Growth Rate,,0.96
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
CHEMBL3989887,Small molecule,TACROLIMUS,Bacterial Biotransformation,,,CHEMBL612558,ADMET,Bacterial Biotransformation,,
